artist_count,released_year,released_month,released_day,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2,2022,9,28,213438580,140,58,17,62,18,0,20,8
1,2022,10,12,210038833,102,58,29,94,0,0,9,11
1,2022,4,8,227918678,82,70,31,34,60,1,11,4
1,2020,12,24,826623384,121,46,53,78,23,0,72,6
2,2020,3,27,1802514301,103,70,92,83,1,0,7,6
1,2022,9,14,181831132,85,65,36,47,31,0,12,10
2,2022,3,14,462791599,125,84,70,69,1,0,5,5
1,2022,10,21,348647203,120,69,40,39,41,0,13,6
3,2022,7,17,366599607,94,58,44,57,57,0,10,3
3,1930,1,1,90598517,130,65,49,80,22,4,7,5
1,2011,10,14,807561936,93,35,38,23,91,0,29,3
1,1963,10,14,663832097,202,24,76,60,77,0,12,4
1,1959,11,16,446390129,134,45,72,24,91,0,18,4
1,2013,10,25,485285717,160,51,69,81,0,0,21,5
1,1970,11,1,520034544,148,50,96,82,47,0,34,4
1,2011,10,14,476244795,151,65,70,47,87,0,9,4
1,2011,1,1,629173063,162,67,88,54,51,0,9,4
1,1963,11,22,404664135,92,53,84,77,40,0,32,3
1,2022,12,9,98709329,152,65,35,65,44,18,21,7
1,2022,12,9,110849052,65,71,55,26,85,0,13,8
4,1971,12,1,460492795,147,33,39,61,32,0,77,3
2,2022,12,8,94005786,150,73,71,69,53,0,32,9
1,1952,1,1,395591396,140,67,81,36,64,0,15,3
1,1946,11,1,389771964,139,36,22,15,84,0,11,4
1,1979,11,16,403939487,95,75,74,58,36,0,9,3
1,1984,11,25,481697415,115,60,23,57,0,2,27,3
2,2022,12,9,110073250,125,62,59,43,84,3,11,5
1,2022,12,9,88092256,76,60,19,20,78,0,11,5
1,1984,1,1,351636786,101,72,91,87,14,0,13,3
2,1950,1,1,473248298,143,60,86,32,88,0,34,6
1,2022,12,9,73981293,119,51,51,66,67,0,9,23
2,2022,12,8,155653938,78,67,22,59,76,1,15,16
3,1942,1,1,395591396,96,23,19,25,91,0,40,3
1,1986,1,1,429504768,180,51,87,58,36,0,18,4
1,1963,11,22,242767149,126,34,35,76,39,0,8,5
1,2022,12,9,65362788,150,43,42,44,57,0,15,6
1,2022,12,9,67540165,90,53,47,74,9,0,34,4
1,2022,12,9,62019074,160,72,78,68,28,0,11,12
2,2017,11,10,135723538,114,59,60,94,24,0,10,4
3,1958,1,1,295998468,113,73,72,32,77,0,15,5
1,2000,11,7,261116938,147,67,69,72,17,0,19,3
2,2022,11,4,136689549,100,70,92,59,3,0,10,3
1,2022,12,2,135611421,155,49,42,77,3,0,12,9
1,2021,12,3,356709897,107,54,41,39,51,0,11,16
2,2022,12,2,110649992,112,80,15,54,9,0,38,5
1,2022,10,31,301869854,166,70,57,57,9,20,11,7
1,1959,1,1,127027715,107,69,96,36,81,0,8,4
1,2022,12,9,57144458,81,47,33,68,24,0,22,38
1,2022,12,9,56870689,150,79,77,46,5,0,11,7
2,2022,10,21,323437194,110,66,19,32,69,0,12,4
1,2022,10,21,317726339,108,64,4,40,6,0,10,6
4,2022,9,28,116144341,130,89,48,74,30,0,7,36
1,2022,10,21,328207708,164,70,39,56,6,0,9,7
2,2022,5,6,608228647,114,80,42,68,2,0,66,4
